"Table 1.12. National Income by Type of Income"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: September 27, 2018 - Next Release Date October 26, 2018"
"Line","","1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2"
"1","        National income",213.0,215.6,219.2,227.2,235.8,244.0,248.8,250.7,243.3,239.7,239.9,236.0,246.3,258.5,275.6,286.1,297.8,305.2,310.6,317.0,318.5,320.4,327.0,338.5,344.5,347.3,345.6,338.0,339.6,339.9,343.3,352.2,364.6,374.0,381.4,387.7,391.2,397.0,401.9,410.1,416.8,418.9,422.6,415.8,409.7,411.6,424.5,437.2,448.3,462.4,459.6,464.8,478.1,478.8,480.2,478.5,480.3,489.9,499.7,514.2,523.4,530.5,536.9,544.9,551.8,560.9,569.4,579.4,591.7,601.8,613.2,621.4,640.0,651.2,662.4,681.8,702.0,711.8,723.1,735.5,741.8,748.4,763.8,779.7,800.5,821.5,841.0,858.0,874.6,890.1,908.1,916.3,921.1,933.2,947.7,948.0,984.6,1004.4,1022.4,1044.7,1077.9,1098.2,1127.9,1174.0,1211.0,1235.7,1264.0,1301.9,1313.9,1334.6,1360.6,1376.5,1383.4,1413.8,1471.7,1515.3,1565.6,1591.3,1623.6,1656.9,1704.1,1770.3,1825.0,1871.9,1910.5,2006.3,2054.8,2119.1,2172.6,2212.5,2264.9,2311.3,2353.0,2356.2,2422.8,2542.6,2630.5,2676.3,2769.4,2782.5,2786.1,2833.6,2852.9,2865.4,2924.4,3004.2,3085.1,3192.4,3320.8,3408.8,3474.3,3531.6,3593.1,3641.2,3702.9,3742.5,3793.2,3804.1,3842.3,3885.3,3953.9,4053.5,4146.6,4239.9,4329.2,4421.4,4514.3,4621.4,4697.6,4732.4,4785.4,4825.0,4927.3,5014.2,5042.9,5070.6,5093.1,5133.7,5185.5,5245.1,5369.1,5451.9,5492.3,5587.6,5596.5,5696.8,5744.2,5883.6,5949.8,6073.8,6163.9,6271.1,6331.9,6397.0,6497.6,6582.7,6701.0,6827.4,6909.7,7044.3,7159.1,7273.8,7422.5,7544.4,7641.9,7767.1,7898.7,7995.3,8142.8,8215.0,8309.7,8494.2,8730.1,8824.0,8942.1,8994.3,9137.5,9168.7,9121.3,9149.4,9257.0,9356.4,9417.0,9554.9,9593.5,9723.3,9881.9,10046.0,10225.4,10416.9,10614.6,10711.8,10937.4,11083.5,11265.5,11508.4,11799.7,11898.5,12011.3,12085.8,12183.1,12309.2,12304.0,12365.3,12377.2,12401.1,12440.9,12083.9,11863.4,11918.8,12056.5,12270.2,12402.8,12633.0,12894.2,13013.3,13092.4,13286.7,13446.7,13605.2,13999.6,14076.7,14043.4,14258.9,14310.7,14444.4,14521.8,14701.9,14866.5,15152.5,15431.6,15531.2,15635.5,15766.1,15855.8,15874.6,15887.7,15953.9,16081.2,16312.9,16525.2,16661.1,16822.6,17015.3,17266.2,17461.5
"2","Compensation of employees",129.0,130.8,132.8,136.9,140.4,142.1,146.8,147.9,146.3,144.7,143.6,142.8,147.0,153.6,162.3,170.2,178.6,184.9,187.9,191.5,196.1,197.4,201.5,209.3,213.1,216.2,216.5,215.1,213.1,212.7,213.2,217.5,221.9,228.1,233.9,238.4,242.8,247.5,250.4,256.4,260.2,262.1,264.7,263.3,259.8,259.4,267.2,272.3,279.7,286.5,286.9,290.2,298.7,301.7,302.6,302.1,303.1,307.3,312.3,318.9,325.5,331.4,334.2,337.7,342.7,347.6,352.6,358.8,365.2,372.6,380.0,386.1,392.9,399.9,408.3,420.5,433.1,444.4,455.7,463.8,470.0,475.6,485.3,496.2,510.9,524.0,537.8,550.3,562.8,576.7,593.4,604.9,615.0,620.2,628.2,630.0,647.9,659.8,670.1,682.2,708.4,722.5,735.7,758.8,785.4,803.2,820.4,841.7,858.3,878.5,900.2,913.8,918.4,931.2,956.0,983.4,1014.7,1035.5,1058.4,1084.8,1113.3,1150.3,1182.1,1217.6,1250.9,1299.1,1336.9,1380.2,1422.5,1454.7,1496.7,1534.9,1573.6,1599.2,1628.6,1687.6,1739.6,1774.8,1815.1,1840.7,1864.7,1884.4,1904.8,1918.1,1947.2,1986.3,2029.6,2086.8,2143.8,2195.2,2241.6,2282.9,2323.5,2363.6,2406.4,2455.7,2491.1,2517.2,2555.2,2604.7,2647.8,2692.0,2740.3,2809.6,2857.6,2923.1,2975.8,3035.4,3079.1,3114.6,3155.0,3209.7,3272.8,3334.7,3372.5,3381.5,3387.5,3427.6,3469.9,3517.0,3595.7,3651.9,3688.5,3736.9,3745.6,3800.2,3834.1,3889.3,3913.4,3991.5,4031.8,4088.1,4134.4,4172.9,4219.7,4265.3,4314.5,4387.5,4451.2,4514.5,4592.4,4660.0,4738.9,4844.0,4942.0,5028.3,5114.9,5199.4,5288.0,5344.3,5423.3,5555.5,5750.0,5792.7,5904.9,5944.7,6050.8,6041.7,6025.4,6038.6,6061.1,6129.3,6157.8,6194.2,6213.6,6307.7,6394.1,6500.8,6542.0,6669.1,6804.3,6864.8,6926.9,7006.0,7122.9,7210.6,7380.2,7428.1,7487.2,7624.0,7806.8,7845.4,7885.1,7978.2,8055.3,8054.8,8074.0,8043.8,7729.8,7761.4,7746.2,7796.7,7767.2,7910.1,7981.8,8040.7,8170.0,8206.1,8287.1,8240.4,8455.9,8503.0,8545.3,8762.6,8731.7,8818.7,8844.7,8941.7,9130.0,9171.0,9271.7,9419.7,9554.1,9665.8,9752.5,9814.9,9839.5,9890.2,9986.1,10109.3,10249.2,10339.9,10471.2,10568.6,10710.1,10820.7
"3","    Wages and salaries",118.9,121.3,124.0,128.3,131.7,133.4,138.1,139.1,136.7,135.0,134.0,133.2,136.9,143.0,151.0,158.1,165.3,171.0,173.5,176.6,181.0,182.1,186.0,193.5,197.1,200.0,200.1,198.7,196.4,196.0,196.3,200.4,204.1,209.9,215.2,219.5,223.3,227.5,230.0,235.4,238.3,239.6,241.8,240.1,236.7,236.3,243.8,248.4,254.0,260.6,260.9,263.9,270.7,273.4,274.0,273.3,273.8,277.6,282.3,288.4,293.3,298.7,301.2,304.2,308.0,312.4,316.8,322.2,328.2,334.8,341.4,346.7,352.8,358.9,366.2,377.1,385.8,395.9,406.1,413.5,418.8,423.6,432.0,441.6,454.2,465.9,478.3,489.4,499.1,511.4,526.4,536.5,545.1,549.1,555.7,556.4,570.5,580.4,588.8,598.4,618.5,630.4,642.3,664.0,683.4,700.2,716.2,735.3,748.2,765.3,783.1,792.5,791.9,800.4,821.3,845.8,871.2,889.4,908.5,929.9,950.0,980.9,1007.5,1038.2,1063.8,1106.0,1138.0,1174.4,1208.6,1234.4,1269.4,1300.9,1333.8,1353.9,1377.3,1428.7,1467.7,1496.7,1530.6,1550.6,1567.5,1581.7,1596.4,1604.4,1622.4,1654.7,1691.4,1741.5,1784.0,1828.1,1867.1,1900.5,1932.1,1963.6,1997.4,2037.0,2063.5,2081.8,2111.5,2152.5,2192.7,2229.9,2270.8,2331.7,2366.2,2421.5,2462.9,2508.6,2540.8,2563.5,2592.3,2635.7,2684.4,2738.8,2769.3,2772.2,2771.7,2800.1,2828.1,2858.0,2912.9,2952.0,2976.6,3020.8,3015.9,3066.5,3093.6,3141.4,3152.7,3223.3,3258.7,3311.6,3358.1,3395.2,3438.9,3479.9,3524.4,3590.0,3647.2,3704.3,3776.4,3835.6,3903.0,3992.4,4074.9,4145.5,4217.4,4288.7,4365.7,4409.7,4473.0,4583.6,4752.3,4780.0,4872.3,4898.9,4980.1,4962.2,4936.8,4938.6,4946.2,4998.5,5013.0,5027.5,5027.4,5101.8,5169.1,5256.5,5275.2,5381.4,5493.4,5536.4,5575.3,5638.3,5738.6,5815.4,5971.9,6012.7,6061.8,6181.4,6344.5,6370.5,6397.4,6474.6,6539.8,6532.6,6546.7,6517.9,6225.0,6253.9,6236.9,6278.6,6232.8,6360.2,6422.1,6473.3,6577.2,6607.9,6681.5,6637.1,6835.8,6875.2,6905.3,7093.6,7043.0,7102.1,7112.0,7195.6,7372.5,7407.1,7493.4,7620.0,7734.5,7827.1,7900.7,7955.4,7981.5,8025.0,8106.7,8209.6,8325.0,8395.7,8506.6,8588.1,8710.6,8806.2
"4","        Government",17.1,17.3,17.6,18.0,18.3,18.6,19.3,19.9,20.4,20.7,21.1,21.2,21.2,21.8,23.0,24.5,26.7,28.5,30.2,31.5,32.4,33.1,33.8,34.2,34.3,34.4,34.3,34.4,34.4,34.7,35.1,35.4,35.5,36.2,37.4,37.3,37.8,38.5,39.2,39.7,40.2,40.7,41.5,41.6,42.0,43.1,46.1,45.3,45.5,45.8,46.2,46.7,47.7,48.6,49.9,50.5,51.1,51.8,52.8,54.2,55.3,56.0,56.5,57.6,58.6,59.4,60.2,61.9,63.1,64.2,65.7,66.8,67.5,68.5,70.5,73.2,74.9,76.9,79.8,82.0,83.5,85.0,87.1,90.4,92.8,95.2,98.7,100.1,101.3,103.1,108.2,109.8,114.4,116.5,118.3,119.7,123.9,125.6,128.0,129.6,134.2,135.7,138.4,143.3,145.0,147.2,149.6,153.4,155.6,158.2,161.3,166.9,170.5,174.5,177.8,182.2,184.8,187.3,189.5,194.1,196.7,199.7,203.7,210.3,213.6,217.3,222.4,226.8,231.3,233.5,239.4,244.3,250.2,260.6,264.2,270.8,277.3,282.6,288.6,294.8,300.8,305.4,309.5,314.5,318.7,322.6,326.7,331.2,337.8,344.8,351.9,358.1,363.9,370.4,378.1,383.0,387.9,393.6,399.4,407.9,413.5,419.9,425.1,433.9,441.7,448.5,454.5,463.4,469.5,476.9,485.1,493.0,503.5,518.7,523.9,530.1,539.6,546.0,551.6,557.8,564.2,569.8,575.2,578.8,582.8,586.6,591.8,594.8,601.1,607.2,612.5,617.2,622.4,627.5,630.9,635.3,640.0,645.6,650.7,656.0,662.3,668.0,674.1,683.2,689.8,697.4,705.6,712.4,718.1,727.0,738.6,751.4,765.2,778.6,783.8,791.5,801.8,814.0,828.9,843.3,855.1,868.2,879.8,888.4,901.2,911.9,917.8,924.9,936.6,948.3,956.6,967.9,977.8,986.1,995.5,1005.8,1014.6,1025.8,1041.9,1055.8,1071.6,1080.5,1093.6,1108.5,1124.8,1136.0,1151.2,1163.4,1162.8,1176.0,1179.0,1183.1,1185.8,1196.6,1191.3,1191.1,1193.1,1199.2,1197.6,1189.5,1198.7,1195.8,1196.8,1202.0,1206.4,1206.8,1204.8,1214.0,1221.8,1230.6,1241.5,1253.9,1263.4,1273.1,1280.3,1286.2,1293.4,1301.6,1313.9,1321.9,1333.7,1341.4,1350.2,1357.7,1363.1,1371.2
"5","        Other",101.7,103.9,106.4,110.3,113.4,114.7,118.8,119.2,116.4,114.3,112.9,112.0,115.6,121.2,128.1,133.5,138.6,142.5,143.3,145.1,148.6,149.0,152.2,159.3,162.7,165.7,165.9,164.3,162.0,161.2,161.2,165.0,168.6,173.6,177.8,182.2,185.4,189.0,190.8,195.7,198.0,198.9,200.3,198.5,194.7,193.2,197.7,203.2,208.6,214.7,214.7,217.2,223.0,224.8,224.1,222.8,222.7,225.8,229.5,234.2,238.0,242.8,244.7,246.6,249.3,253.0,256.7,260.3,265.1,270.7,275.7,279.9,285.4,290.3,295.7,304.0,310.8,319.0,326.3,331.5,335.4,338.6,344.9,351.2,361.5,370.7,379.6,389.4,397.8,408.3,418.3,426.6,430.7,432.6,437.4,436.6,446.6,454.8,460.8,468.8,484.3,494.7,503.9,520.7,538.3,553.0,566.6,582.0,592.5,607.1,621.8,625.6,621.4,625.9,643.5,663.6,686.4,702.1,719.0,735.8,753.3,781.2,803.8,827.9,850.3,888.8,915.6,947.6,977.2,1000.9,1030.0,1056.6,1083.6,1093.3,1113.1,1157.9,1190.3,1214.1,1241.9,1255.8,1266.8,1276.3,1286.9,1289.9,1303.7,1332.1,1364.7,1410.4,1446.2,1483.4,1515.2,1542.4,1568.2,1593.2,1619.3,1654.0,1675.6,1688.3,1712.0,1744.6,1779.1,1810.0,1845.7,1897.8,1924.4,1973.0,2008.3,2045.2,2071.3,2086.6,2107.1,2142.7,2180.9,2220.1,2245.5,2242.1,2232.1,2254.1,2276.5,2300.2,2348.7,2382.2,2401.4,2442.0,2433.1,2479.8,2501.9,2546.5,2551.6,2616.2,2646.2,2694.4,2735.7,2767.7,2808.0,2844.6,2884.4,2944.3,2996.5,3048.2,3114.1,3167.7,3228.9,3309.2,3385.1,3448.1,3511.8,3576.2,3647.6,3682.7,3734.5,3832.3,3987.1,4001.4,4088.4,4107.4,4178.4,4148.2,4107.9,4095.3,4091.1,4130.3,4133.2,4139.2,4126.3,4189.8,4251.4,4331.6,4338.6,4433.1,4536.7,4568.5,4597.5,4652.2,4743.0,4809.6,4957.3,4986.9,5019.8,5125.7,5272.9,5290.0,5303.9,5366.1,5415.0,5396.6,5395.6,5354.4,5062.2,5077.8,5057.9,5095.6,5047.0,5163.6,5230.8,5282.2,5384.2,5408.7,5483.8,5447.6,5637.2,5679.5,5708.5,5891.6,5836.6,5895.3,5907.2,5981.6,6150.7,6176.5,6251.9,6366.1,6471.0,6554.0,6620.4,6669.2,6688.1,6723.5,6792.8,6887.6,6991.3,7054.3,7156.3,7230.4,7347.5,7434.9
"6","    Supplements to wages and salaries",10.1,9.5,8.8,8.6,8.7,8.7,8.8,8.8,9.5,9.7,9.6,9.6,10.1,10.6,11.3,12.1,13.2,13.9,14.4,14.9,15.1,15.3,15.6,15.9,16.1,16.2,16.4,16.4,16.7,16.7,16.9,17.2,17.8,18.2,18.7,18.9,19.5,20.0,20.5,21.0,22.0,22.4,22.9,23.2,23.0,23.2,23.4,23.8,25.7,25.9,26.0,26.3,28.0,28.3,28.6,28.8,29.3,29.7,30.1,30.5,32.2,32.7,33.1,33.4,34.7,35.2,35.8,36.5,37.0,37.8,38.6,39.4,40.1,41.0,42.1,43.3,47.3,48.5,49.5,50.3,51.2,52.0,53.3,54.7,56.7,58.1,59.5,60.9,63.7,65.3,67.0,68.5,69.9,71.2,72.5,73.7,77.4,79.3,81.3,83.7,89.9,92.1,93.4,94.8,102.1,103.0,104.2,106.4,110.2,113.2,117.1,121.3,126.5,130.8,134.7,137.6,143.5,146.1,149.9,154.9,163.2,169.4,174.6,179.4,187.1,193.1,198.9,205.8,214.0,220.4,227.3,234.0,239.8,245.3,251.3,258.9,271.9,278.1,284.5,290.1,297.1,302.6,308.3,313.8,324.8,331.6,338.2,345.3,359.8,367.0,374.6,382.4,391.4,400.0,409.0,418.7,427.6,435.4,443.8,452.2,455.1,462.1,469.5,477.8,491.4,501.6,513.0,526.9,538.3,551.1,562.8,574.1,588.3,595.9,603.2,609.3,615.8,627.5,641.8,659.0,682.8,699.9,712.0,716.1,729.6,733.8,740.5,747.9,760.7,768.2,773.0,776.5,776.3,777.7,780.8,785.4,790.1,797.6,804.0,810.2,816.0,824.3,835.9,851.6,867.1,882.8,897.4,910.7,922.3,934.6,950.3,971.8,997.7,1012.7,1032.7,1045.8,1070.7,1079.5,1088.6,1100.0,1114.9,1130.8,1144.8,1166.6,1186.2,1205.9,1225.0,1244.3,1266.8,1287.7,1310.9,1328.4,1351.6,1367.7,1384.4,1395.2,1408.3,1415.4,1425.4,1442.6,1462.2,1474.8,1487.6,1503.6,1515.5,1522.2,1527.2,1526.0,1504.8,1507.5,1509.3,1518.1,1534.4,1549.9,1559.7,1567.4,1592.8,1598.2,1605.7,1603.3,1620.1,1627.8,1640.0,1669.0,1688.7,1716.6,1732.7,1746.2,1757.5,1763.9,1778.3,1799.7,1819.6,1838.7,1851.8,1859.6,1858.0,1865.2,1879.4,1899.7,1924.2,1944.2,1964.6,1980.5,1999.4,2014.5
"7","        Employer contributions for employee pension and insurance funds1",5.5,5.2,5.2,5.4,5.5,5.7,5.8,6.0,6.0,6.1,6.3,6.5,6.9,7.3,7.9,8.5,9.2,9.8,10.3,10.7,11.0,11.2,11.4,11.6,11.9,12.0,12.1,12.2,12.1,12.1,12.3,12.5,12.8,13.1,13.4,13.7,14.0,14.3,14.8,15.2,15.6,16.0,16.5,16.9,16.7,16.9,17.0,17.4,18.0,18.0,18.2,18.4,18.7,19.1,19.3,19.6,19.9,20.1,20.4,20.7,21.2,21.5,21.8,22.1,22.5,22.9,23.3,23.9,24.5,25.2,25.9,26.6,27.3,28.1,29.0,29.9,30.9,31.8,32.5,33.1,33.6,34.3,35.1,36.1,37.2,38.3,39.4,40.4,41.6,42.8,44.0,45.1,46.2,47.3,48.5,49.8,51.3,52.9,54.8,56.9,59.3,61.1,62.3,63.0,63.3,63.7,64.3,65.3,66.6,68.7,71.8,75.9,80.7,84.8,87.7,89.4,90.4,92.2,95.1,99.2,104.2,108.8,112.9,116.4,119.4,122.6,126.3,130.3,134.7,139.0,143.5,148.1,152.9,157.7,162.2,166.7,171.0,175.3,179.7,184.1,188.5,193.2,198.0,203.1,208.4,213.2,217.5,221.3,224.7,228.9,234.0,240.0,247.0,253.8,260.4,266.9,273.1,279.1,284.9,290.4,292.4,297.5,302.4,307.2,312.1,318.6,326.8,336.8,348.1,358.8,368.2,376.4,386.3,390.3,394.7,399.6,405.2,413.6,425.1,439.7,456.8,471.0,481.4,488.1,491.7,495.6,500.2,505.7,511.4,515.4,517.6,517.4,515.6,514.9,515.6,517.8,521.0,524.4,527.3,530.0,532.7,537.4,544.7,554.7,566.7,578.0,587.9,596.6,604.1,613.9,626.3,641.4,657.1,671.3,684.6,694.9,712.9,721.6,731.2,741.3,753.2,764.8,777.3,797.6,812.2,826.2,839.9,852.8,868.0,881.6,897.1,912.2,930.6,943.1,953.4,959.5,964.7,970.1,978.5,989.2,1002.5,1015.0,1026.8,1037.3,1045.8,1051.9,1054.4,1053.3,1048.8,1048.1,1051.5,1058.9,1070.3,1080.4,1088.9,1095.9,1102.0,1106.4,1109.5,1111.1,1112.1,1117.8,1128.8,1145.1,1168.4,1190.7,1205.9,1214.0,1216.6,1221.8,1230.8,1243.5,1258.7,1270.9,1278.9,1282.5,1283.3,1287.5,1296.4,1309.8,1327.4,1342.7,1355.7,1366.4,1376.3,1385.0
"8","        Employer contributions for government social insurance",4.7,4.3,3.5,3.2,3.2,3.0,2.9,2.9,3.5,3.5,3.3,3.0,3.3,3.3,3.4,3.6,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.3,4.2,4.6,4.6,4.6,4.6,5.0,5.1,5.2,5.3,5.6,5.7,5.7,5.8,6.4,6.4,6.4,6.3,6.3,6.3,6.4,6.4,7.8,7.9,7.9,7.9,9.3,9.3,9.3,9.2,9.5,9.6,9.6,9.8,11.0,11.2,11.2,11.3,12.2,12.3,12.5,12.6,12.4,12.6,12.7,12.8,12.8,13.0,13.2,13.4,16.5,16.7,17.0,17.2,17.6,17.8,18.2,18.6,19.4,19.8,20.1,20.5,22.1,22.5,23.0,23.4,23.7,23.9,23.9,23.9,26.1,26.4,26.5,26.8,30.6,31.0,31.2,31.8,38.7,39.3,39.9,41.1,43.6,44.5,45.3,45.4,45.7,46.0,47.0,48.2,53.1,53.9,54.9,55.7,59.1,60.6,61.7,63.0,67.6,70.4,72.6,75.4,79.2,81.4,83.9,85.9,86.9,87.6,89.1,92.2,100.9,102.7,104.8,106.0,108.6,109.5,110.3,110.7,116.4,118.4,120.7,124.0,135.1,138.1,140.5,142.4,144.4,146.2,148.6,151.8,154.5,156.3,158.9,161.8,162.7,164.6,167.1,170.6,179.2,183.0,186.2,190.0,190.1,192.3,194.6,197.7,202.0,205.6,208.5,209.6,210.6,213.9,216.8,219.3,226.0,229.0,230.6,228.0,238.0,238.2,240.3,242.2,249.3,252.8,255.5,259.0,260.8,262.8,265.3,267.7,269.1,273.2,276.7,280.3,283.3,286.9,291.2,297.0,300.4,304.9,309.5,314.1,318.2,320.7,324.0,330.5,340.6,341.4,348.1,350.8,357.8,358.0,357.4,358.7,361.6,366.0,367.5,369.0,374.0,379.8,385.0,391.4,398.8,406.1,413.9,416.2,421.1,424.6,430.9,435.6,443.6,445.3,447.0,453.3,459.7,459.8,460.9,466.3,469.7,470.4,472.8,472.7,456.0,459.4,457.8,459.2,464.1,469.5,470.8,471.5,490.8,491.8,496.2,492.2,508.0,510.0,511.2,523.9,520.4,525.9,526.8,532.1,540.9,542.1,547.6,556.2,560.9,567.8,572.9,577.0,574.7,577.7,583.1,589.9,596.8,601.5,608.8,614.0,623.2,629.5
